"num","year","month","day","week","hour","minute"
524,2013,7,7,"周日",21,22
525,2013,7,8,"周一",21,43
526,2013,7,9,"周二",21,24
527,2013,7,10,"周三",21,21
528,2013,7,11,"周四",21,19
529,2013,7,12,"周五",21,30
530,2013,7,13,"周六",21,38
531,2013,7,14,"周日",21,39
532,2013,7,15,"周一",21,29
533,2013,7,16,"周二",21,32
534,2013,7,17,"周三",21,12
535,2013,7,18,"周四",21,23
536,2013,7,19,"周五",21,50
537,2013,7,20,"周六",22,17
538,2013,7,21,"周日",21,38
539,2013,7,22,"周一",21,29
540,2013,7,23,"周二",21,19
541,2013,7,24,"周三",21,14
542,2013,7,25,"周四",21,15
543,2013,7,26,"周五",21,37
544,2013,7,27,"周六",21,33
545,2013,7,28,"周日",23,47
546,2013,7,29,"周一",21,57
547,2013,7,30,"周二",21,15
548,2013,7,31,"周三",21,37
549,2013,8,1,"周四",21,20
550,2013,8,2,"周五",23,44
551,2013,8,3,"周六",22,26
552,2013,8,4,"周日",21,54
553,2013,8,5,"周一",21,44
554,2013,8,6,"周二",22,20
555,2013,8,7,"周三",21,50
556,2013,8,8,"周四",23,17
557,2013,8,9,"周五",22,48
558,2013,8,10,"周六",21,59
559,2013,8,11,"周日",21,53
560,2013,8,12,"周一",21,23
561,2013,8,13,"周二",21,35
562,2013,8,14,"周三",23,8
563,2013,8,15,"周四",22,1
564,2013,8,16,"周五",21,45
565,2013,8,17,"周六",21,18
566,2013,8,18,"周日",21,1
567,2013,8,19,"周一",22,30
568,2013,8,20,"周二",22,53
569,2013,8,21,"周三",21,33
570,2013,8,22,"周四",21,23
571,2013,8,23,"周五",22,28
572,2013,8,24,"周六",21,16
573,2013,8,25,"周日",21,18
574,2013,8,26,"周一",22,3
575,2013,8,27,"周二",22,45
576,2013,8,28,"周三",21,39
577,2013,8,29,"周四",22,45
578,2013,8,30,"周五",21,6
579,2013,9,1,"周日",21,29
580,2013,9,2,"周一",19,7
581,2013,9,3,"周二",20,28
582,2013,9,5,"周四",22,16
583,2013,9,6,"周五",21,41
584,2013,9,7,"周六",21,59
585,2013,9,8,"周日",21,15
586,2013,9,9,"周一",21,56
587,2013,9,10,"周二",22,54
588,2013,9,11,"周三",21,44
589,2013,9,12,"周四",22,49
590,2013,9,13,"周五",21,16
591,2013,9,14,"周六",21,16
592,2013,9,15,"周日",21,39
593,2013,9,16,"周一",23,17
594,2013,9,17,"周二",21,10
595,2013,9,18,"周三",22,56
596,2013,9,19,"周四",21,16
597,2013,9,20,"周五",22,52
598,2013,9,21,"周六",22,18
599,2013,9,22,"周日",21,42
600,2013,9,24,"周二",21,18
601,2013,9,25,"周三",21,57
602,2013,9,26,"周四",23,38
603,2013,9,27,"周五",22,30
604,2013,9,28,"周六",22,2
605,2013,9,29,"周一",21,59
606,2013,9,30,"周一",23,16
607,2013,10,1,"周二",23,8
608,2013,10,2,"周三",21,57
609,2013,10,3,"周四",22,56
610,2013,10,4,"周五",21,56
611,2013,10,5,"周六",22,25
612,2013,10,6,"周日",21,48
613,2013,10,7,"周一",23,26
614,2013,10,8,"周三",23,20
615,2013,10,9,"周三",22,56
616,2013,10,10,"周四",22,7
617,2013,10,11,"周五",22,11
618,2013,10,12,"周六",21,54
619,2013,10,13,"周日",22,21
620,2013,10,14,"周一",21,51
621,2013,10,15,"周三",21,58
622,2013,10,16,"周三",22,18
623,2013,10,17,"周四",22,29
624,2013,10,18,"周五",22,23
625,2013,10,19,"周六",22,14
626,2013,10,20,"周日",22,28
627,2013,10,21,"周一",22,10
628,2013,10,22,"周二",23,7
629,2013,10,23,"周三",22,10
630,2013,10,24,"周四",21,56
631,2013,10,25,"周五",22,7
632,2013,10,26,"周六",23,13
633,2013,10,27,"周日",22,23
634,2013,10,28,"周一",22,22
635,2013,10,29,"周二",23,15
